INVOICE_NO,CUST_ID,ITEM_ID,ITEM_NO,PRODUCT_TYPE,TRX_DATE,QUANTITY
1616070030,47289,14654748,WD4003FZEX,OTHERS,2016/7/1,1
1616070659/普00871189,3584267,14980184,T1910-X,OTHERS,2016/7/14,1
1616071066/普00871198,3584267,15247091,GOLDEN FIELD KM012-X,OTHERS,2016/7/18,8
1616070255/79213854,2431204,15201033,DS216PLAY,OTHERS,2016/7/6,8
1616071051/88761534,3279261,14310766,I2769V,OTHERS,2016/7/18,2
1616071321/88761697,3867254,15163960,MAXIMUS VIII HERO-H,OTHERS,2016/7/22,20
A10058865,47289,15331041,SD8SB8U-1T00-1122,OTHERS,2016/7/6,-1
1616070435/79213974,3539255,15083976,LV243XID,OTHERS,2016/7/11,1
1616071382/88761741,3701256,15047904,I2080SW,OTHERS,2016/7/22,50
1616071382/88761741,3701256,15242187,T4312M,OTHERS,2016/7/22,2
1616071753/88764248,3279261,15185963,I2481FXH,OTHERS,2016/7/29,4
1616070248/79213848,2533202,14534724,RKS1314,OTHERS,2016/7/6,2
1616071321/88761697,3867254,15242090,B150-PLUS-H,OTHERS,2016/7/22,50
1616070045/79213664,2431204,15201033,DS216PLAY,OTHERS,2016/7/1,7
1616070613/88761244,3701256,15151088,I2280SWD,OTHERS,2016/7/13,15
1616071382/88761741,3701256,15078912,M2470SWD2,OTHERS,2016/7/22,5
SR160700155,38467,10027587,919SWN-H,OTHERS,2016/7/19,0
1616070864/88761411,2973252,15276185,B150M-K,OTHERS,2016/7/14,30
1616071123/88761551,3478253,15305978,B150M-K-H,OTHERS,2016/7/19,50
1616070255/79213854,2431204,15455984,DS416PLAY,OTHERS,2016/7/6,2
1616071420,47289,14671860,WD1003FZEX,OTHERS,2016/7/25,15
1616071468,47289,15547003,SEELE 裝甲兵PRO-R,OTHERS,2016/7/25,5
1616071325/88761701,2973252,15631973,H110M-A/M.2,OTHERS,2016/7/22,10
1616071468,47289,15348971,SEELE 聖騎士S3-X,OTHERS,2016/7/25,5
1616071159/88761570,3082270,15182028,GTX950-DC2OC-2GD5,OTHERS,2016/7/19,2
,999999999,15539985,4T,MEMORY_SYSTEM,,0
1616071116,47289,14731963,WD10PURX,OTHERS,2016/7/19,6
1616071432/88761775,3030243,15184975,I2281FW/BW-H,OTHERS,2016/7/25,30
1616070552/88761173,2340198,15510025,AG322FCX-H,OTHERS,2016/7/12,20
A10059024,40627,15185962,I2381FH,OTHERS,2016/7/12,0
1616071381/88761740,3279261,15540004,I2480SXHE5,OTHERS,2016/7/22,4
SR160800030,3725254,10027587,919SWN-H,OTHERS,2016/7/29,0
1616070894,47289,8768587,WD10JUCT,OTHERS,2016/7/14,3
1616071450,47289,14717885,990FX KILLER/A/ASRK,OTHERS,2016/7/25,4
1616071432/88761775,3030243,15004903,I2579V/WS-H,OTHERS,2016/7/25,10
1616070263/79213862,3829249,14310766,I2769V,OTHERS,2016/7/6,10
1616070538,47289,15242273,B150M-ITX/M/ASRK,OTHERS,2016/7/12,10
1616071753/88764248,3279261,15182032,I2380SD,OTHERS,2016/7/29,8
ST160700209,3134245,10027587,919SWN-H,OTHERS,2016/7/26,0
1616071059,47289,15242274,H170 COMBO/A/ASRK,OTHERS,2016/7/18,2
1616070469,47289,14935101,980DE3/U3S3 R2/A/ASRK,OTHERS,2016/7/12,2
1616071389/88761754,3876249,15452141,DS716+II,OTHERS,2016/7/25,2
1616070647/普00871189,3584267,14790349,WD10EZEX-D,OTHERS,2016/7/14,3
SR160800022,3134245,10027587,919SWN-H,OTHERS,2016/7/29,0
1616071112,47289,14843868,Z97 ANNIVERSARY/A/ASRK,OTHERS,2016/7/19,1
1616070469,47289,15058062,X99E-ITX/AC./M/ASRK,OTHERS,2016/7/12,2
,999999999,15455982,DS916+(8GB),OTHERS,,0
1616071733,47289,15436261,SEELE 聖騎士S1-R,OTHERS,2016/7/29,1
1616070711/普00871190,3584267,14819950,WD10PURX-D,OTHERS,2016/7/14,1
,999999999,3222190,SALES-REBATE-WESTERN,OTHERS,,0
1616070220,47289,14980086,WD5000LPLX,OTHERS,2016/7/5,30
